Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Age Group,Plan,Status,Age,Customer Value,Churn
3,No,13,2,4470,42,225,14,3,Month,Active,30,1080.48,No
4,No,13,2,1568,21,10,11,3,Month,Active,30,103.56,Yes
7,No,34,0,4290,69,0,13,2,Month,Active,25,196.155,No
0,No,35,0,0,0,0,0,2,Month,Not_Active,25,0,No
9,No,33,0,2373,58,349,20,2,Month,Active,25,1679.895,No
9,No,34,0,4118,64,0,31,1,Month,Active,15,230.01,No
2,No,34,0,2313,56,0,29,1,Month,Active,15,130.295,No
10,No,34,0,3695,80,22,24,3,Month,Active,30,239,No
3,No,34,0,2280,37,275,14,3,Month,Active,30,1192.68,No
12,No,33,1,9035,119,134,39,3,Month,Active,30,902.16,No
6,No,34,0,13693,167,0,40,3,Month,Active,30,554.4,No
6,No,34,0,4435,81,0,21,3,Month,Active,30,180.64,No
5,No,34,0,5838,93,0,8,2,Month,Active,25,266.895,No
8,No,34,0,2158,52,0,13,3,Month,Not_Active,30,88.4,No
24,No,34,2,15060,223,44,28,3,Month,Active,30,787.32,No
3,No,34,0,3015,25,473,4,3,Month,Active,30,2013.6,No
8,No,33,0,15405,180,140,26,2,Month,Active,25,1331.325,No
2,No,33,0,6420,84,176,22,3,Month,Active,30,964.16,No
0,No,33,0,795,12,0,7,2,Month,Not_Active,25,36.315,No
1,No,34,0,630,12,3,4,2,Month,Not_Active,25,42.39,No
0,No,33,0,0,0,0,0,2,Month,Not_Active,25,0,Yes
2,No,33,0,7428,125,374,39,2,Month,Active,25,2022.885,No
6,No,33,0,11385,152,1,43,3,Month,Active,30,465.48,No
7,No,33,0,6638,73,98,33,2,Month,Active,25,742.995,No
22,No,29,0,875,45,6,13,2,Month,Not_Active,25,68.4,Yes
20,No,32,7,10355,91,0,38,4,Month,Active,45,261.15,No
12,Yes,32,0,5738,96,16,20,2,Month,Active,25,334.53,Yes
0,No,30,0,2760,20,0,10,3,Month,Active,30,111.2,No
8,Yes,31,0,2910,39,0,12,3,Month,Not_Active,30,117.96,Yes
8,No,32,0,2188,42,24,27,3,Month,Not_Active,30,185.2,Yes
0,Yes,32,0,0,0,0,0,3,Month,Not_Active,30,0,Yes
0,No,32,0,1588,23,0,2,3,Month,Active,30,64.44,No
2,No,29,0,6705,95,4,18,4,Month,Active,45,180,No
0,No,32,0,0,0,0,0,4,Month,Not_Active,45,0,Yes
0,No,32,0,0,0,0,0,5,Month,Active,55,0,No
24,No,27,2,15995,236,0,76,2,Month,Active,25,730.395,No
5,No,30,2,6885,114,261,29,2,Contract,Active,25,1489.455,No
1,No,32,0,3638,80,0,24,2,Month,Active,25,167.31,No
2,No,31,0,1585,42,28,16,3,Month,Not_Active,30,177.08,No
5,No,32,0,2700,51,165,19,2,Month,Active,25,866.295,No
3,No,23,0,1235,34,183,7,2,Contract,Active,25,880.605,No
3,No,22,0,1488,37,20,64,4,Month,Active,45,88.125,No
10,No,23,0,620,23,0,3,2,Month,Not_Active,25,28.935,No
0,No,22,0,0,0,11,0,4,Month,Not_Active,45,27.5,No
9,No,21,0,1145,30,9,9,2,Month,Active,25,93.375,No
1,No,21,0,3145,59,0,19,3,Month,Active,30,128.16,No
1,No,14,0,1615,24,18,10,2,Month,Active,25,154.755,No
15,No,13,0,6313,139,75,38,1,Contract,Active,15,767.36,No
11,No,11,0,8853,169,63,36,4,Month,Active,45,383.05,No
7,No,12,2,2773,43,21,15,3,Month,Active,30,196.64,No
1,No,5,0,4310,38,205,6,3,Month,Active,30,993.92,No
2,No,5,0,1408,17,0,3,3,Month,Active,30,57,Yes
13,No,44,1,4630,81,20,23,3,Month,Active,30,268.44,No
5,No,45,0,578,15,22,10,3,Month,Not_Active,30,111.72,No
15,No,43,1,2713,70,374,30,3,Month,Active,30,1607.32,No
15,No,44,1,4458,76,16,41,1,Month,Active,15,337.37,No
8,No,44,1,2653,68,17,39,2,Month,Active,25,198.945,No
16,No,44,2,4035,92,47,34,3,Month,Active,30,353.08,No
9,No,44,1,2620,49,300,24,3,Month,Active,30,1306.76,No
18,No,43,3,9375,131,159,49,3,Month,Active,30,1016.24,No
12,No,44,1,14033,179,15,50,3,Month,Active,30,628.48,No
12,No,44,2,4775,93,17,31,3,Month,Active,30,262.72,No
11,No,44,1,6178,105,22,18,3,Month,Active,30,339.32,No
14,Yes,44,0,2498,64,23,23,3,Month,Not_Active,30,194.48,No
30,No,44,4,15400,235,69,38,3,Month,Active,30,901.4,No
9,No,44,2,3355,37,498,14,3,Month,Active,30,2127.68,No
14,No,43,1,15745,192,165,36,2,Month,Active,25,1459.665,No
8,No,43,2,6760,96,201,32,3,Month,Active,30,1078.24,No
5,No,43,0,1135,24,15,17,2,Month,Not_Active,25,119.655,No
7,No,44,0,970,24,28,14,3,Month,Not_Active,30,151.76,No
5,No,43,0,260,10,15,6,2,Month,Not_Active,25,79.65,Yes
8,No,43,1,7768,137,399,49,3,Month,Active,30,1912.2,No
12,No,43,2,11725,164,26,53,4,Month,Active,45,362.225,No
13,No,43,2,6978,85,123,43,2,Month,Active,25,871.335,No
28,Yes,39,0,1215,57,31,23,3,Month,Not_Active,30,174.88,Yes
26,No,42,9,10695,103,16,48,5,Contract,Active,55,185.97,No
18,No,42,2,6078,108,41,30,2,Month,Active,25,462.87,No
6,No,40,1,3100,32,15,20,3,Month,Active,30,185.28,No
14,Yes,41,0,3250,51,24,22,3,Month,Not_Active,30,228.04,Yes
14,Yes,42,0,2528,54,49,37,4,Month,Not_Active,45,187.05,Yes
5,No,42,0,393,12,15,8,3,Month,Not_Active,30,76.2,Yes
6,No,42,1,1928,35,15,12,4,Month,Active,45,86.575,No
8,No,39,2,7045,107,29,28,5,Month,Active,55,150.78,No
5,No,42,0,888,17,24,10,4,Month,Not_Active,45,82.625,Yes
5,No,42,2,598,14,19,8,5,Month,Active,55,37.68,No
30,Yes,37,4,16335,248,15,86,2,Month,Active,25,813.735,No
11,Yes,40,4,7225,126,286,39,3,Contract,Active,30,1438.04,No
7,No,42,1,3978,92,17,34,3,Month,Active,30,230.8,No
8,No,41,0,1925,54,53,26,3,Month,Not_Active,30,291.16,No
11,No,42,1,3040,63,190,29,2,Month,Active,25,994.635,No
9,No,33,2,1575,46,208,17,3,Contract,Active,30,896.84,No
9,No,32,1,1828,49,45,74,5,Month,Active,55,95.655,No
16,No,33,0,960,35,25,13,3,Month,Not_Active,30,139.8,No
5,No,32,0,1085,20,36,9,4,Month,Not_Active,45,117.625,No
15,No,31,1,1485,42,34,19,2,Month,Active,25,221.715,No
7,No,31,1,3485,71,23,29,3,Month,Active,30,234.24,No
7,No,24,1,1955,36,43,20,3,Month,Active,30,251.64,No
21,No,23,2,6653,151,100,48,2,Contract,Active,25,756.18,No
17,No,21,1,9193,181,88,46,5,Month,Active,55,272.61,No
13,No,22,4,3113,55,46,25,3,Month,Active,30,310.72,No
7,No,15,2,4650,50,230,16,3,Month,Active,30,1108,No
8,Yes,15,2,1748,29,15,13,3,Month,Active,30,131.08,Yes
3,No,32,0,4110,61,0,11,2,Month,Active,25,187.695,No
0,No,33,0,0,0,0,0,2,Month,Not_Active,25,0,No
5,No,31,0,2193,50,344,18,2,Month,Active,25,1648.935,No
5,No,32,0,3938,56,0,29,1,Month,Active,15,219.67,No
0,No,32,0,2133,48,0,27,1,Month,Active,15,119.955,No
6,No,32,0,3515,72,17,22,2,Month,Active,25,237.915,No
0,No,32,0,2100,29,270,12,3,Month,Active,30,1165.16,No
8,No,31,1,8855,111,129,37,3,Month,Active,30,874.64,No
2,No,32,0,13513,159,0,38,3,Month,Active,30,546.88,No
2,No,32,0,4255,73,0,19,3,Month,Active,30,173.12,No
1,No,32,0,5658,85,0,6,2,Month,Active,25,258.435,No
4,No,32,0,1978,44,0,11,3,Month,Not_Active,30,80.88,No
20,No,32,2,14880,215,39,26,3,Month,Active,30,759.8,No
0,No,32,0,2835,17,468,2,3,Month,Active,30,1986.08,No
4,No,31,0,15225,172,135,24,2,Month,Active,25,1300.365,No
0,No,31,0,6240,76,171,20,3,Month,Active,30,936.64,No
0,No,31,0,615,4,0,5,2,Month,Not_Active,25,27.855,No
0,No,32,0,450,4,0,2,2,Month,Not_Active,25,20.43,No
0,No,31,0,0,0,0,0,2,Month,Not_Active,25,0,Yes
0,No,31,0,7248,117,369,37,2,Month,Active,25,1991.925,No
2,No,31,0,11205,144,0,41,3,Month,Active,30,453.96,No
3,No,31,0,6458,65,93,31,2,Month,Active,25,712.035,No
18,Yes,27,0,695,37,1,11,2,Month,Not_Active,25,37.44,Yes
16,No,30,7,10175,83,0,36,4,Month,Active,45,256.45,No
8,Yes,30,0,5558,88,11,18,2,Month,Active,25,303.57,Yes
0,No,28,0,2580,12,0,8,3,Month,Active,30,103.68,No
4,No,29,0,2730,31,0,10,2,Month,Not_Active,25,124.245,Yes
4,Yes,30,0,2008,34,19,25,3,Month,Not_Active,30,157.68,Yes
0,No,30,0,0,0,0,0,3,Month,Not_Active,30,0,Yes
0,No,30,0,0,0,0,0,3,Month,Active,30,0,No
0,No,27,0,6525,87,0,16,4,Month,Active,45,165.3,No
0,Yes,30,0,0,0,0,0,4,Month,Not_Active,45,0,Yes
0,Yes,30,0,0,0,0,0,5,Month,Active,55,0,Yes
20,No,25,2,15815,228,0,74,2,Month,Active,25,721.935,No
1,No,28,2,6705,106,256,27,2,Contract,Active,25,1458.495,No
0,No,30,0,3458,72,0,22,2,Month,Active,25,158.85,No
0,No,29,0,1405,34,23,14,3,Month,Not_Active,30,149.56,No
1,No,30,0,2520,43,160,17,2,Month,Active,25,835.335,No
0,No,21,0,1055,26,178,5,2,Contract,Active,25,849.645,No
0,No,20,0,1308,29,15,62,4,Month,Active,45,70.925,No
6,No,21,0,440,15,0,1,2,Month,Not_Active,25,20.475,No
0,No,20,0,0,0,6,0,4,Month,Not_Active,45,15,No
5,No,19,0,965,22,4,7,2,Month,Active,25,62.415,No
0,No,19,0,2965,51,0,17,3,Month,Active,30,120.64,No
0,No,12,0,1435,16,13,8,2,Month,Active,25,123.795,No
11,No,11,0,6133,131,70,36,1,Contract,Active,15,729.52,No
7,No,9,0,8673,161,58,34,4,Month,Active,45,365.85,No
3,No,10,2,2593,35,16,13,3,Month,Active,30,169.12,No
0,No,3,0,4130,30,200,4,3,Month,Active,30,966.4,No
0,Yes,3,0,1228,9,0,1,2,Month,Active,25,55.665,Yes
10,No,41,0,4550,79,16,22,3,Month,Active,30,249.16,No
2,No,42,0,498,13,18,9,2,Month,Not_Active,25,103.995,No
12,No,40,0,2633,68,370,29,3,Month,Active,30,1588.04,No
12,No,41,0,4378,74,12,40,1,Month,Active,15,310.86,No
5,No,41,0,2573,66,13,38,1,Month,Active,15,216.645,No
13,No,41,1,3955,90,43,33,3,Month,Active,30,333.8,No
6,No,41,0,2540,47,296,23,3,Month,Active,30,1287.48,No
15,No,40,2,9295,129,155,48,3,Month,Active,30,996.96,No
9,No,41,0,13953,177,11,49,3,Month,Active,30,609.2,No
9,No,41,1,4695,91,13,30,3,Month,Active,30,243.44,No
8,No,41,0,6098,103,18,17,3,Month,Active,30,320.04,No
11,No,41,0,2418,62,19,22,3,Month,Not_Active,30,175.2,No
27,No,41,3,15320,233,65,37,3,Month,Active,30,882.12,No
6,No,41,1,3275,35,494,13,3,Month,Active,30,2108.4,No
11,No,40,0,15665,190,161,35,2,Month,Active,25,1437.975,No
5,No,40,1,6680,94,197,31,3,Month,Active,30,1058.96,No
2,No,40,0,1055,22,11,16,2,Month,Not_Active,25,97.965,No
4,No,41,0,890,22,24,13,3,Month,Not_Active,30,132.48,No
2,No,40,0,180,8,11,5,2,Month,Not_Active,25,57.96,Yes
5,No,40,0,7688,135,395,48,2,Month,Active,25,2129.535,No
9,No,40,1,11645,162,22,52,4,Month,Active,45,350.175,No
10,No,40,1,6898,83,119,42,2,Month,Active,25,849.645,No
25,Yes,36,0,1135,55,27,22,2,Month,Not_Active,25,175.05,Yes
23,No,39,8,10615,101,12,47,5,Month,Active,55,178.74,No
15,No,39,1,5998,106,37,29,2,Month,Active,25,441.18,No
3,No,37,0,3020,30,11,19,3,Month,Active,30,166,No
11,Yes,38,0,3170,49,20,21,3,Month,Not_Active,30,208.76,Yes
11,Yes,39,0,2448,52,45,36,3,Month,Not_Active,30,280,Yes
2,Yes,39,0,313,10,11,7,3,Month,Not_Active,30,56.92,Yes
3,No,39,0,1848,33,11,11,3,Month,Active,30,119.24,No
5,No,36,1,6965,105,25,27,5,Month,Active,55,143.55,No
2,No,39,0,808,15,20,9,4,Month,Not_Active,45,70.575,Yes
2,No,39,1,518,12,15,7,5,Month,Active,55,30.45,No
27,Yes,34,3,16255,246,11,85,2,Month,Active,25,792.045,No
8,No,37,3,7145,124,282,38,2,Contract,Active,25,1596.105,No
4,No,39,0,3898,90,13,33,2,Month,Active,25,237.96,No
5,No,38,0,1845,52,49,25,3,Month,Not_Active,30,271.88,No
8,No,39,0,2960,61,186,28,2,Month,Active,25,972.945,No
6,Yes,30,1,1495,44,204,16,2,Contract,Active,25,987.255,Yes
6,No,29,0,1748,47,41,73,4,Month,Active,45,147.375,No
13,No,30,0,880,33,21,12,2,Month,Not_Active,25,135.585,No
2,No,29,0,1005,18,32,8,4,Month,Not_Active,45,105.575,No
12,No,28,0,1405,40,30,18,2,Month,Active,25,200.025,No
4,No,28,0,3405,69,19,28,3,Month,Active,30,214.96,No
4,No,21,0,1875,34,39,19,2,Month,Active,25,261.405,No
18,No,20,1,6573,149,96,47,2,Contract,Active,25,734.49,No
14,No,18,0,9113,179,84,45,4,Month,Active,45,442.3,No
10,No,19,3,3033,53,42,24,3,Month,Active,30,291.44,No
4,No,12,1,4570,48,226,15,3,Month,Active,30,1088.72,No
5,No,12,1,1668,27,11,12,3,Month,Active,30,111.8,Yes
6,No,35,0,4190,63,0,12,3,Month,Active,30,170.12,No
0,No,36,0,0,0,0,0,2,Month,Not_Active,25,0,No
8,No,34,0,2273,52,348,19,3,Month,Active,30,1485,No
8,No,35,0,4018,58,0,30,1,Month,Active,15,224.18,No
1,No,35,0,2213,50,0,28,1,Month,Active,15,124.465,No
